"spelling.errors","spelling.sugg","spelling.pattern"
"aedes","aides","\baedes\b"
"rna","RNA","\brna\b"
"myomorph","morph","\bmyomorph\b"
"rodentia","rodent","\brodentia\b"
"sigmodontines","periodontists","\bsigmodontines\b"
"aedeagus","demagogues","\baedeagus\b"
"carabidae","carbide","\bcarabidae\b"
"morphometrics","psychometric","\bmorphometrics\b"
"interspecific","inter specific","\binterspecific\b"
"paramere","para mere","\bparamere\b"
"amazonas","amazons","\bamazonas\b"
"brazil","Brazil","\bbrazil\b"
"rainforest","rain forest","\brainforest\b"
"allee","allele","\ballee\b"
"magicicada","magi cicada","\bmagicicada\b"
"georgia","Georgia","\bgeorgia\b"
"el","e","\bel\b"
"niño","onion","\bniño\b"
"sst","SST","\bsst\b"
"american","American","\bamerican\b"
"redstart","restart","\bredstart\b"
"nonbreeding","non breeding","\bnonbreeding\b"
"setophaga","esophageal","\bsetophaga\b"
"ruticilla","rustically","\bruticilla\b"
"cestrum","strum","\bcestrum\b"
"diurnum","diurnal","\bdiurnum\b"
"frugivory","frugality","\bfrugivory\b"
"mimus","minus","\bmimus\b"
"polyglottus","polyglots","\bpolyglottus\b"
"puerto","Puerto","\bpuerto\b"
"rico","Rico","\brico\b"
"solanum","solarium","\bsolanum\b"
"americanum","americium","\bamericanum\b"
"tyrannus","tyrannous","\btyrannus\b"
"dominicensis","dominatrices","\bdominicensis\b"
"costa","coats","\bcosta\b"
"rica","Erica","\brica\b"
"salmonid","salmon id","\bsalmonid\b"
"detritivore","retributive","\bdetritivore\b"
"neotropics","tropics","\bneotropics\b"
"predation","depredation","\bpredation\b"
"trophic","tropic","\btrophic\b"
"bathymetric","barometric","\bbathymetric\b"
"anurans","insurance","\banurans\b"
"naamp","NAACP","\bnaamp\b"
"ecuador","Ecuador","\becuador\b"
"african","African","\bafrican\b"
"mycobacterium","bacterium","\bmycobacterium\b"
"bovis","bovines","\bbovis\b"
"syncerus","synchronous","\bsyncerus\b"
"caffer","naffer","\bcaffer\b"
"stochasticity","stochastic","\bstochasticity\b"
"apostatic","apostatize","\bapostatic\b"
"dama","dams","\bdama\b"
"herbivory","herbivore","\bherbivory\b"
"tannic","tannin","\btannic\b"
"complementarity","complementary","\bcomplementarity\b"
"epiphytes","neophytes","\bepiphytes\b"
"mutualism","mutual ism","\bmutualism\b"
"headwater","headwaters","\bheadwater\b"
"hydrologic","hydro logic","\bhydrologic\b"
"africa","Africa","\bafrica\b"
"kenya","Kenya","\bkenya\b"
"ecophysiology","psychophysiology","\becophysiology\b"
"fucus","ficus","\bfucus\b"
"gardneri","gardener","\bgardneri\b"
"intertidal","inter tidal","\bintertidal\b"
"speciation","specialization","\bspeciation\b"
"guiana","Guiana","\bguiana\b"
"heritability","irritability","\bheritability\b"
"spartina","spartan","\bspartina\b"
"castanopsis","castanets","\bcastanopsis\b"
"sempervirens","servicemen","\bsempervirens\b"
"chinquapin","chinstrap","\bchinquapin\b"
"granivory","gran ivory","\bgranivory\b"
"scatterhoarding","scatter hoarding","\bscatterhoarding\b"
"haar","hear","\bhaar\b"
"nevada","Nevada","\bnevada\b"
"california","California","\bcalifornia\b"
"usa","USA","\busa\b"
"avion","avian","\bavion\b"
"lagopus","lag opus","\blagopus\b"
"leucurus","curlers","\bleucurus\b"
