"spelling.errors","spelling.sugg","spelling.pattern"
"biomarker","bio marker","\bbiomarker\b"
"collembola","collaborate","\bcollembola\b"
"hemitragus","hermitages","\bhemitragus\b"
"jemlahicus","vehicular","\bjemlahicus\b"
"himalayan","Himalayan","\bhimalayan\b"
"tahr","tar","\btahr\b"
"dimorphism","isomorphism","\bdimorphism\b"
"jensens","nonsense","\bjensens\b"
"chthamalus","thalamus","\bchthamalus\b"
"stellatus","tessellate","\bstellatus\b"
"mediterranean","Mediterranean","\bmediterranean\b"
"aegypti","eucalypti","\baegypti\b"
"albopictus","subtropical","\balbopictus\b"
"arborvirus","arbor virus","\barborvirus\b"
"sindbis","sinusitis","\bsindbis\b"
"sinv","sin","\bsinv\b"
"anisotropy","misanthropy","\banisotropy\b"
"paleoecology","paleontology","\bpaleoecology\b"
"hydractinia","hydration","\bhydractinia\b"
"symbiolongicarpus","microbiological","\bsymbiolongicarpus\b"
"pagurus","pa gurus","\bpagurus\b"
"longicarpus","nonsurgical","\blongicarpus\b"
"ipomopsis","solipsism","\bipomopsis\b"
"aggregata","aggregate","\baggregata\b"
"mattamuskeet","musketeer","\bmattamuskeet\b"
"najas","ninjas","\bnajas\b"
"guadalupensis",NA,"\bguadalupensis\b"
"carolina","Carolina","\bcarolina\b"
"vallisneria","aerialist","\bvallisneria\b"
"americana","Americana","\bamericana\b"
"markov","Markov","\bmarkov\b"
"metapopulatlon","overpopulation","\bmetapopulatlon\b"
"commensalism","commercialism","\bcommensalism\b"
"extrafloral","extra floral","\bextrafloral\b"
"inga","gaming","\binga\b"
"vera","Vera","\bvera\b"
"selenothrips","selenographers","\bselenothrips\b"
"rubrocinctus","cinctures","\brubrocinctus\b"
"spatiotemporal","extemporization","\bspatiotemporal\b"
"metapopulations","meta populations","\bmetapopulations\b"
"allometric","geometrical","\ballometric\b"
"monte","Monte","\bmonte\b"
"carlo","carol","\bcarlo\b"
"cornell","Cornell","\bcornell\b"
"multiscale","multi scale","\bmultiscale\b"
"autogenic","photogenic","\bautogenic\b"
"anglica","angelica","\banglica\b"
"zostera","zoster","\bzostera\b"
"noltii","notion","\bnoltii\b"
"denmark","Denmark","\bdenmark\b"
"macrophytes","macrophages","\bmacrophytes\b"
"paleolimnology","paleontology","\bpaleolimnology\b"
"planktivorous","insectivorous","\bplanktivorous\b"
"caribbean","Caribbean","\bcaribbean\b"
"biogeography","bio geography","\bbiogeography\b"
"boreal","arboreal","\bboreal\b"
"marmota","marmots","\bmarmota\b"
"flaviventris","ventriloquist","\bflaviventris\b"
"dryas","drays","\bdryas\b"
"octopetala","octagonal","\boctopetala\b"
"norway","Norway","\bnorway\b"
"balanus","balances","\bbalanus\b"
"improvisus","improvises","\bimprovisus\b"
"intraspecific","transpacific","\bintraspecific\b"
"tachycineta","tachycardia","\btachycineta\b"
"bicolor","bi color","\bbicolor\b"
"phenylethanol","phenomenology","\bphenylethanol\b"
"dioecy","idiocy","\bdioecy\b"
"volatiles","volatile","\bvolatiles\b"
"fragaria","frag aria","\bfragaria\b"
"virginiana","virginal","\bvirginiana\b"
"gynodioecy","gynecology","\bgynodioecy\b"
"altitudinal","latitudinal","\baltitudinal\b"
"asynchrony","synchrony","\basynchrony\b"
"america","America","\bamerica\b"
"caucasus","Caucasus","\bcaucasus\b"
"cirsium","circumcise","\bcirsium\b"
"obalatum","petrolatum","\bobalatum\b"
"exclosure","enclosure","\bexclosure\b"
"increaser","increase","\bincreaser\b"
"rangeland","rang eland","\brangeland\b"
"veratrum","ageratum","\bveratrum\b"
"lobelianum","nobelium","\blobelianum\b"
"ambystoma","customary","\bambystoma\b"
"desmognathus","prognathous","\bdesmognathus\b"
"fagus","fags","\bfagus\b"
"sylvatica","syllabicate","\bsylvatica\b"
"picea","pica","\bpicea\b"
"abies","rabies","\babies\b"
"invasibility","invisibility","\binvasibility\b"
"hydroperiod","hydro period","\bhydroperiod\b"
"switzerland","Switzerland","\bswitzerland\b"
"rapoports","rapports","\brapoports\b"
"attractors","at tractors","\battractors\b"
"heliconia","helicopter","\bheliconia\b"
"acuminata","culminate","\bacuminata\b"
"heliconiaceae","heliocentric","\bheliconiaceae\b"
"ltre","lyre","\bltre\b"
"beringia","bearing","\bberingia\b"
"holocene","Holocene","\bholocene\b"
"biomes","bio mes","\bbiomes\b"
"seagrass","sea grass","\bseagrass\b"
"inducible","deducible","\binducible\b"
"polyphenism","polytheism","\bpolyphenism\b"
"rana","ran","\brana\b"
"polymorphism","polymorphic","\bpolymorphism\b"
"scoticus","scorbutic","\bscoticus\b"
"ferocactus","ferocious","\bferocactus\b"
"wislizeni","wizened","\bwislizeni\b"
"metapopulation","meta population","\bmetapopulation\b"
"aspondylia","spoliation","\baspondylia\b"
"borrichiae","trichinae","\bborrichiae\b"
"borrichia","bronchial","\bborrichia\b"
"frutescens","putrescence","\bfrutescens\b"
"pissonotus","nonpoisonous","\bpissonotus\b"
"quadripustulatus","quadrilaterals","\bquadripustulatus\b"
"enso","ens","\benso\b"
"quaternary","Quaternary","\bquaternary\b"
"alaska","Alaska","\balaska\b"
"glauca","glaucoma","\bglauca\b"
"diapausing","diagnosing","\bdiapausing\b"
"mtdna","DNA","\bmtdna\b"
"onondaga","Onondaga","\bonondaga\b"
"redfield","red field","\bredfield\b"
"stoichiometry","psychometric","\bstoichiometry\b"
"npp","pp","\bnpp\b"
"intra","intro","\bintra\b"
"ipom","pom","\bipom\b"
"loblolly","lob lolly","\bloblolly\b"
"connectance","connectable","\bconnectance\b"
"zealand","Zealand","\bzealand\b"
"crossdating","cross dating","\bcrossdating\b"
"masting","mating","\bmasting\b"
"mixedwood","mixed wood","\bmixedwood\b"
"ireland","Ireland","\bireland\b"
"ulyssiponensis",NA,"\bulyssiponensis\b"
"rhizoctonia","architectonic","\brhizoctonia\b"
"solani","solaria","\bsolani\b"
"canada","Canada","\bcanada\b"
"eriophorum","phosphorus","\beriophorum\b"
"vaginatum","vagina tum","\bvaginatum\b"
"ledum","led um","\bledum\b"
"groenlandicum","grandiloquence","\bgroenlandicum\b"
"ombrotrophic","phototropic","\bombrotrophic\b"
"peatlands","peat lands","\bpeatlands\b"
"fuscum","scum","\bfuscum\b"
"sarracenia","larcenist","\bsarracenia\b"
"purpurea","purple","\bpurpurea\b"
"benzoic","benzine","\bbenzoic\b"
"macrofauna","macro fauna","\bmacrofauna\b"
"subtidal","sub tidal","\bsubtidal\b"
"infauna","in fauna","\binfauna\b"
"passerina","passer","\bpasserina\b"
"cyanea","cyan ea","\bcyanea\b"
"methanogenesis","parthenogenesis","\bmethanogenesis\b"
"patuxent","patent","\bpatuxent\b"
"maryland","Maryland","\bmaryland\b"
"agonistic","antagonistic","\bagonistic\b"
"egernia","hernia","\begernia\b"
"saxatilis","laxatives","\bsaxatilis\b"
"eulamprus","lampreys","\beulamprus\b"
"heatwolei","wholewheat","\bheatwolei\b"
"scincid","coincided","\bscincid\b"
"skink","slink","\bskink\b"
"interannual","inter annual","\binterannual\b"
"phenology","penology","\bphenology\b"
"dipterocarpaceae","electrocardiograph","\bdipterocarpaceae\b"
"malaysia","Malaysia","\bmalaysia\b"
"sus","such","\bsus\b"
"scrofa","scrota","\bscrofa\b"
"british","British","\bbritish\b"
"columbia","Columbia","\bcolumbia\b"
"ecotone","connector","\becotone\b"
"phytodetritus","pulchritudinous","\bphytodetritus\b"
"macroalgae","macro algae","\bmacroalgae\b"
"appalachian","Appalachian","\bappalachian\b"
"chelinidea","chandelier","\bchelinidea\b"
"vittiger","tigerish","\bvittiger\b"
"opuntia","optician","\bopuntia\b"
"moran","roman","\bmoran\b"
"agroecology","gynecology","\bagroecology\b"
"homopteran","homophone","\bhomopteran\b"
"aphis","aphid","\baphis\b"
"gossypii","gossipy","\bgossypii\b"
"solenopsis","solenoids","\bsolenopsis\b"
"invicta","invitation","\binvicta\b"
"carduus","arduous","\bcarduus\b"
"nutans","nu tans","\bnutans\b"
"rhinocyllus","rhinoceros","\brhinocyllus\b"
"conicus","conics","\bconicus\b"
"trichosirocalus","petrochemicals","\btrichosirocalus\b"
"horridus","horrid us","\bhorridus\b"
"mortadelo","mortarboard","\bmortadelo\b"
"urophora","amphora","\burophora\b"
"solstitialis","socialistic","\bsolstitialis\b"
"anpp","app","\banpp\b"
"ectomycorrhizae","hysterectomy","\bectomycorrhizae\b"
"indonesia","Indonesia","\bindonesia\b"
"kalimantan","talisman","\bkalimantan\b"
"chamaecrista","characteristic","\bchamaecrista\b"
"keyensis","ensigns","\bkeyensis\b"
"fabaceae","barefaced","\bfabaceae\b"
"florida","Florida","\bflorida\b"
"rockland","dockland","\brockland\b"
"invasiveness","evasiveness","\binvasiveness\b"
"potamopyrgus","hippopotamus","\bpotamopyrgus\b"
"antipodarum","antipodal","\bantipodarum\b"
"arrhenatherum","aromatherapy","\barrhenatherum\b"
"elatius","gelatinous","\belatius\b"
"brachypodium","hypochondriac","\bbrachypodium\b"
"rupestre","estrus","\brupestre\b"
"bromus","bro mus","\bbromus\b"
"erectus","erects","\berectus\b"
"chromis","chromes","\bchromis\b"
"aconitum","aconite","\baconitum\b"
"columbianum","columbine","\bcolumbianum\b"
"beewolf","bee wolf","\bbeewolf\b"
"philanthus","philanthropist","\bphilanthus\b"
"bicinctus","cinctures","\bbicinctus\b"
