title,SO,jrnl_cat
Journal of Evolutionary Biology,jeb,general
Ecology,ecology,general
Journal of Applied Ecology,jae,general
Evolution,evol,general
Biotropica,bitr,tropical
Journal of Ecology,jecol,general
Tropical Conservation Science,tcs,tropical
American Naturalist,amnat,general
Tropical Ecology,trec,tropical
Journal of Tropical Ecology,jte,tropical
Revista de Biologia Tropical,rbt,tropical
